model,measure,condition,run,rating
claude-opus-4-8,praise,help,30,2
claude-opus-4-8,responsibility,harm,1,7
claude-opus-4-8,responsibility,harm,2,7
claude-opus-4-8,responsibility,harm,3,6
claude-opus-4-8,responsibility,harm,4,7
claude-opus-4-8,responsibility,harm,5,7
claude-opus-4-8,responsibility,harm,6,7
claude-opus-4-8,responsibility,harm,7,6
claude-opus-4-8,responsibility,harm,8,7
claude-opus-4-8,responsibility,harm,9,7
claude-opus-4-8,responsibility,harm,10,6
claude-opus-4-8,responsibility,harm,11,7
claude-opus-4-8,responsibility,harm,12,7
claude-opus-4-8,responsibility,harm,13,6
claude-opus-4-8,responsibility,harm,14,7
claude-opus-4-8,responsibility,harm,15,7
claude-opus-4-8,responsibility,harm,16,7
claude-opus-4-8,responsibility,harm,17,6
claude-opus-4-8,responsibility,harm,18,6
claude-opus-4-8,responsibility,harm,19,7
claude-opus-4-8,responsibility,harm,20,7
claude-opus-4-8,responsibility,harm,21,7
claude-opus-4-8,responsibility,harm,22,6
claude-opus-4-8,responsibility,harm,23,7
claude-opus-4-8,responsibility,harm,24,7
claude-opus-4-8,responsibility,harm,25,6
claude-opus-4-8,responsibility,harm,26,7
claude-opus-4-8,responsibility,harm,27,7
claude-opus-4-8,responsibility,harm,28,7
claude-opus-4-8,responsibility,harm,29,6
claude-opus-4-8,responsibility,harm,30,6
claude-opus-4-8,responsibility,help,1,3
claude-opus-4-8,responsibility,help,2,2
claude-opus-4-8,responsibility,help,3,2
claude-opus-4-8,responsibility,help,4,2
claude-opus-4-8,responsibility,help,5,3
claude-opus-4-8,responsibility,help,6,2
claude-opus-4-8,responsibility,help,7,2
claude-opus-4-8,responsibility,help,8,3
claude-opus-4-8,responsibility,help,9,2
claude-opus-4-8,responsibility,help,10,2
claude-opus-4-8,responsibility,help,11,3
claude-opus-4-8,responsibility,help,12,3
claude-opus-4-8,responsibility,help,13,3
claude-opus-4-8,responsibility,help,14,2
claude-opus-4-8,responsibility,help,15,3
claude-opus-4-8,responsibility,help,16,3
claude-opus-4-8,responsibility,help,17,3
claude-opus-4-8,responsibility,help,18,2
claude-opus-4-8,responsibility,help,19,2
claude-opus-4-8,responsibility,help,20,2
claude-opus-4-8,responsibility,help,21,2
claude-opus-4-8,responsibility,help,22,3
claude-opus-4-8,responsibility,help,23,2
claude-opus-4-8,responsibility,help,24,3
claude-opus-4-8,responsibility,help,25,2
claude-opus-4-8,responsibility,help,26,3
claude-opus-4-8,responsibility,help,27,2
claude-opus-4-8,responsibility,help,28,2
claude-opus-4-8,responsibility,help,29,2
claude-opus-4-8,responsibility,help,30,3
claude-opus-4-8,causation,harm,1,6
claude-opus-4-8,causation,harm,2,7
claude-opus-4-8,causation,harm,3,6
claude-opus-4-8,causation,harm,4,7
claude-opus-4-8,causation,harm,5,6
claude-opus-4-8,causation,harm,6,7
claude-opus-4-8,causation,harm,7,6
claude-opus-4-8,causation,harm,8,7
claude-opus-4-8,causation,harm,9,6
claude-opus-4-8,causation,harm,10,7
claude-opus-4-8,causation,harm,11,7
claude-opus-4-8,causation,harm,12,7
claude-opus-4-8,causation,harm,13,7
claude-opus-4-8,causation,harm,14,7
claude-opus-4-8,causation,harm,15,7
claude-opus-4-8,causation,harm,16,7
claude-opus-4-8,causation,harm,17,6
claude-opus-4-8,causation,harm,18,6
claude-opus-4-8,causation,harm,19,7
claude-opus-4-8,causation,harm,20,7
claude-opus-4-8,causation,harm,21,7
claude-opus-4-8,causation,harm,22,7
claude-opus-4-8,causation,harm,23,7
claude-opus-4-8,causation,harm,24,6
claude-opus-4-8,causation,harm,25,7
claude-opus-4-8,causation,harm,26,7
claude-opus-4-8,causation,harm,27,6
claude-opus-4-8,causation,harm,28,7
claude-opus-4-8,causation,harm,29,7
claude-opus-4-8,causation,harm,30,7
claude-opus-4-8,causation,help,1,3
claude-opus-4-8,causation,help,2,3
claude-opus-4-8,causation,help,3,3
claude-opus-4-8,causation,help,4,3
claude-opus-4-8,causation,help,5,3
claude-opus-4-8,causation,help,6,4
claude-opus-4-8,causation,help,7,3
claude-opus-4-8,causation,help,8,4
claude-opus-4-8,causation,help,9,3
claude-opus-4-8,causation,help,10,3
claude-opus-4-8,causation,help,11,3
claude-opus-4-8,causation,help,12,3
claude-opus-4-8,causation,help,13,3
claude-opus-4-8,causation,help,14,3
claude-opus-4-8,causation,help,15,4
claude-opus-4-8,causation,help,16,3
claude-opus-4-8,causation,help,17,4
claude-opus-4-8,causation,help,18,3
claude-opus-4-8,causation,help,19,3
claude-opus-4-8,causation,help,20,3
claude-opus-4-8,causation,help,21,3
claude-opus-4-8,causation,help,22,3
claude-opus-4-8,causation,help,23,3
claude-opus-4-8,causation,help,24,4
claude-opus-4-8,causation,help,25,5
claude-opus-4-8,causation,help,26,4
claude-opus-4-8,causation,help,27,4
claude-opus-4-8,causation,help,28,3
claude-opus-4-8,causation,help,29,3
claude-opus-4-8,causation,help,30,4
